Airline;IATA
Aviastar;MV
Batik Air;ID
Citilink;QG
Garuda Indonesia;GA
Indonesia AirAsia;QZ
Lion Air;JT
NAM Air;IN
Pelita Air;IP
Sriwijaya Air;SJ
Super Air Jet;IU
Susi Air;SI
TransNusa;8B
Trigana Air;IL
Wings Air;IW
Scoot;TR
Cebu Pacific;5J
Flyr;FS
Thai AirAsia;FD
Jetstar Asia Airways;3K
Malindo Air;OD
Thai Lion Air;SL
Air Asia;AK
PAN Air;PV
